major,degfield_s,Top3_share,HHI,MOS
11,agriculture,0.298021343,0.058692159,0.226123562
13,environment and natural resources,0.259284851,0.035374569,0.276635087
14,architecture,0.529400158,0.121329321,0.350509339
15,"area, ethnic, and civilization studies",0.239864865,0.038546217,0.875391769
19,communications,0.26459144,0.044554377,1.00001
20,communication technologies,0.374248497,0.071178429,0.534026715
21,computer and information sciences,0.653534371,0.325062395,0.044112361
22,cosmetology services and culinary arts,0.488267148,0.108827823,0.510581433
23,education administration and teaching,0.678187469,0.389571543,0.968718617
24,engineering,0.645988262,0.190780392,1.00E-05
25,engineering technologies,0.432098765,0.076499926,0.098983882
26,linguistics and foreign languages,0.272568579,0.042632073,0.796011453
29,family and consumer sciences,0.357687302,0.064950588,0.955554578
32,law,0.393396226,0.101648273,0.654384039
33,"english language, literature, and composition",0.247651907,0.041665249,0.953358227
34,liberal arts and humanities,0.25623532,0.039440062,0.656476592
36,biology and life sciences,0.22074846,0.035252757,0.34298213
37,mathematics and statistics,0.370898438,0.068507919,0.336206459
40,interdisciplinary and multi-disciplinary studies (general),0.272098673,0.044312719,0.768508037
41,"physical fitness, parks, recreation, and leisure",0.237867149,0.035493711,0.534494722
48,philosophy and religious studies,0.219332049,0.033472634,0.724089925
49,theology and religious vocations,0.386754139,0.089488495,0.373244073
50,physical sciences,0.247762478,0.038397504,0.211343202
51,"nuclear, industrial radiology, and biological technologies",0.720930233,0.379292861,0.427956779
52,psychology,0.269875868,0.042461346,0.882490324
53,criminal justice and fire protection,0.369937618,0.076878364,0.414078339
54,"public affairs, policy, and social work",0.484834344,0.144635175,0.843414274
55,social sciences,0.248000922,0.038932612,0.772288227
56,construction services,0.629441624,0.242366059,0.076713012
57,electrical and mechanic repairs and technologies,0.305993691,0.061767955,0.220192289
59,transportation sciences and technologies,0.468023256,0.158001153,0.279932218
60,fine arts,0.321930008,0.065572849,0.734330421
61,medical and health sciences and services,0.725652075,0.383479395,0.533735638
62,business,0.336755842,0.060305848,0.838079288
64,history,0.235473441,0.03528323,0.63404151
