major,degfieldd_s,Top3_share,HHI,MOS
1100,general agriculture,0.487325729,0.120550953,0.368207265
1101,agriculture production and management,0.572924458,0.142634214,0.318614235
1102,agricultural economics,0.706720978,0.189052642,0.336204931
1103,animal sciences,0.446134347,0.108370641,0.508635045
1104,food science,0.502747253,0.122705591,0.408952196
1105,plant science and agronomy,0.50580945,0.117623588,0.318614235
1199,miscellaneous agriculture,0.491452991,0.113412229,0.463423806
1301,environmental science,0.401860167,0.082642489,0.384928924
1302,forestry,0.484510533,0.1291073,0.29868062
1303,natural resources management,0.396055437,0.082708412,0.31291843
1401,architecture,0.645492208,0.183810972,0.2895
1501,"area, ethnic, and civilization studies",0.444498069,0.099067266,0.65099936
1901,communications,0.52598473,0.127330482,0.629698257
1902,journalism,0.590679556,0.164643068,0.615315954
1903,mass media,0.5323049,0.130103985,0.532227157
1904,advertising and public relations,0.563305979,0.148548495,0.598890544
2001,communication technologies,0.553106212,0.157828181,0.292484738
2100,computer and information systems,0.708749829,0.307974834,0.104660874
2101,computer programming and data processing,0.664179104,0.307947204,0.256872412
2102,computer science,0.764484116,0.407708835,1.00E-05
2105,information sciences,0.710313901,0.269650707,1.00E-05
2106,computer information management and security,0.667105263,0.252968317,0.07395656
2107,computer networking and telecommunications,0.533661741,0.134762902,0.235534655
2201,cosmetology services and culinary arts,0.642599278,0.215348825,0.454316041
2300,general education,0.745654939,0.400122216,0.729678224
2304,elementary education,0.831059469,0.540098035,0.907277266
2305,mathematics teacher education,0.811546841,0.502634314,1.00001
2306,physical and health education teaching,0.60319112,0.230503211,0.476442865
2307,early childhood education,0.804901337,0.469842681,0.876443914
2308,science  and computer teacher education,0.763071895,0.443606092,0.547311393
2309,secondary teacher education,0.758328628,0.422481724,1.00001
2310,special needs education,0.828465215,0.578394495,0.907277266
2311,social science or history teacher education,0.688514732,0.302348269,0.678403969
2312,teacher education:  multiple levels,0.863496933,0.59182106,0.63372702
2313,language and drama education,0.769708552,0.415454651,1.00001
2314,art and music education,0.77672751,0.44792313,1.00001
2399,miscellaneous education,0.582837723,0.189180332,0.421032787
2400,general engineering,0.614882737,0.164694319,0.159939832
2401,aerospace engineering,0.688715953,0.26481491,0.120054737
2402,biological engineering,0.584690554,0.158696644,0.267654358
2403,architectural engineering,0.753709199,0.283290335,0.229624807
2404,biomedical engineering,0.551212938,0.135261296,0.298386847
2405,chemical engineering,0.683641536,0.259531251,0.131010429
2406,civil engineering,0.782777695,0.336218689,0.188016986
2407,computer engineering,0.78445678,0.364647797,0.03849631
2408,electrical engineering,0.73703504,0.226695674,0.093424168
2409,"engineering mechanics, physics, and science",0.588028169,0.154136084,0.171884744
2410,environmental engineering,0.646341463,0.22364069,0.237661259
2412,industrial and manufacturing engineering,0.643898376,0.179696229,0.095052983
2413,materials engineering and materials science,0.674033149,0.250343396,0.214981839
2414,mechanical engineering,0.742688621,0.324718444,0.135461635
2416,mining and mineral engineering,0.717741935,0.255853278,0.206887028
2417,naval architecture and marine engineering,0.624338624,0.189888301,0.246052205
2418,nuclear engineering,0.586206897,0.170299908,0.17030028
2419,petroleum engineering,0.813559322,0.464441891,0.012356352
2499,miscellaneous engineering,0.57994186,0.151742707,0.267035402
2500,engineering technologies,0.543758967,0.123569139,0.194848947
2501,engineering and industrial management,0.507163324,0.122453839,0.269207814
2502,electrical engineering technology,0.618334892,0.161178934,0.103510421
2503,industrial production technologies,0.529808774,0.128791972,0.216578122
2504,mechanical engineering related technologies,0.618374558,0.198022755,0.199468832
2599,miscellaneous engineering technologies,0.508259212,0.109071491,0.196035531
2601,linguistics and comparative language and literature,0.414660832,0.091934843,0.559734518
2602,"french, german, latin and other common foreign language studies",0.485394158,0.109735931,0.696214447
2603,other foreign languages,0.417085427,0.090808593,0.66878045
2901,family and consumer sciences,0.485963934,0.11743109,0.834561408
3202,pre-law and legal studies,0.582075472,0.150364899,0.592664726
3301,english language and literature,0.441731725,0.105454563,0.707125996
3302,composition and speech,0.461242793,0.104572087,0.659726498
3401,liberal arts,0.433261956,0.096215561,0.564877562
3402,humanities,0.447761194,0.097620573,0.566148221
3600,biology,0.389671687,0.085648688,0.513052048
3601,biochemical sciences,0.465437788,0.105558255,0.482279357
3603,molecular biology,0.480263158,0.107308258,0.50113273
3604,ecology,0.363996044,0.078592456,0.41837764
3605,genetics,0.504201681,0.112774522,0.317999052
3606,microbiology,0.493011436,0.11007816,0.482279357
3608,physiology,0.427341227,0.094684957,0.611916028
3609,zoology,0.358585859,0.083840651,0.424640822
3611,neuroscience,0.377892031,0.086432154,0.627506308
3699,miscellaneous biology,0.428381963,0.091353629,0.420159172
3700,mathematics,0.53109938,0.127369531,0.342442758
3701,applied mathematics,0.584541063,0.159513641,0.283924416
3702,statistics and decision science,0.650429799,0.169054441,0.346027738
4000,interdisciplinary and multi-disciplinary studies (general),0.56675063,0.159861588,0.697290572
4001,intercultural and international studies,0.483764082,0.10701903,0.567310425
4002,nutrition sciences,0.52534965,0.151847279,0.610263604
4006,cognitive science and biopsychology,0.507109005,0.122256912,0.384361271
4007,interdisciplinary social sciences,0.430478309,0.092980583,0.690213227
4101,"physical fitness, parks, recreation, and leisure",0.392970091,0.08690188,0.504016425
4801,philosophy and religious studies,0.394990366,0.086128116,0.554983063
4901,theology and religious vocations,0.501873829,0.129976541,0.402998279
5002,atmospheric sciences and meteorology,0.547337278,0.157715066,0.402150108
5003,chemistry,0.491489997,0.13794601,0.420442126
5004,geology and earth science,0.473448018,0.121337414,0.283405427
5005,geosciences,0.448529412,0.100670415,0.322745076
5006,oceanography,0.366492147,0.082371646,0.447546012
5007,physics,0.455813953,0.097763356,0.226953521
5008,materials science,0.668122271,0.241776473,0.129156805
5098,multi-disciplinary or general science,0.360328145,0.079530839,0.426057798
5102,"nuclear, industrial radiology, and biological technologies",0.779069767,0.473178069,0.531684094
5200,psychology,0.414166505,0.096213549,0.749095163
5201,educational psychology,0.696078431,0.259131103,0.671824495
5202,clinical psychology,0.416,0.096832,0.60540545
5203,counseling psychology,0.491150442,0.1227974,0.7850738
5205,industrial and organizational psychology,0.670682731,0.165561846,0.516918231
5299,miscellaneous psychology,0.390728477,0.088016973,0.735350698
5301,criminal justice and fire protection,0.526855106,0.144946037,0.446753926
5401,public administration,0.487847222,0.111026717,0.547843105
5402,public policy,0.513353116,0.118315738,0.607057038
5403,human services and community organization,0.529411765,0.120780202,0.671559591
5404,social work,0.678937558,0.254570045,0.80147169
5500,general social sciences,0.416911765,0.094355536,0.606279357
5501,economics,0.639558574,0.159883951,0.347507493
5502,anthropology and archeology,0.430262671,0.088733158,0.519999714
5503,criminology,0.461859356,0.115127266,0.557884105
5504,geography,0.403587444,0.086259378,0.276202408
5505,international relations,0.500871586,0.115477164,0.557519229
5506,political science and government,0.478993732,0.109403394,0.581615253
5507,sociology,0.423492126,0.097902588,0.732107753
5599,miscellaneous social sciences,0.478087649,0.107760194,0.491186336
5601,construction services,0.714784264,0.295835252,0.20266605
5701,electrical and mechanic repairs and technologies,0.514195584,0.129616177,0.207965733
5901,transportation sciences and technologies,0.605230386,0.221250531,0.283209493
6000,fine arts,0.46587009,0.11216736,0.533871825
6001,drama and theater arts,0.462217861,0.105156107,0.609849178
6002,music,0.431367868,0.098789524,0.554055144
6003,visual and performing arts,0.483292584,0.112426263,0.777885239
6004,commercial art and graphic design,0.643237567,0.237783044,0.506056524
6005,"film, video and photographic arts",0.586818422,0.165900293,0.466546531
6006,art history and criticism,0.534001432,0.1285611,0.599512349
6007,studio arts,0.420515575,0.095934173,0.488573312
6099,miscellaneous fine arts,0.4345898,0.099463621,0.423226197
6100,general medical and health services,0.5,0.113754934,0.80352633
6102,communication disorders sciences and services,0.521651561,0.119682693,0.810824957
6103,health and medical administrative services,0.575954509,0.142711209,0.723295947
6104,medical assisting services,0.869485294,0.589314919,0.795462036
6105,medical technologies technicians,0.819889031,0.486720918,0.640701021
6106,health and medical preparatory programs,0.451827243,0.102305714,0.513252499
6107,nursing,0.909723203,0.747112854,0.795462036
6108,"pharmacy, pharmaceutical sciences, and administration",0.672413793,0.308934335,0.569407419
6109,treatment therapy professions,0.63513918,0.272172238,0.815990068
6110,community and public health,0.436610608,0.094610471,0.572643167
6199,miscellaneous health medical professions,0.571572581,0.169230863,0.786786
6200,general business,0.585769872,0.138248932,0.393259995
6201,accounting,0.805482775,0.377881391,0.516763496
6202,actuarial science,0.792899408,0.327001856,0.200000163
6203,business management and administration,0.586736092,0.146743184,0.393259995
6204,"operations, logistics and e-commerce",0.61308204,0.15746604,0.386535827
6205,business economics,0.679577465,0.185332275,0.574255843
6206,marketing and marketing research,0.675963798,0.178520365,0.574255843
6207,finance,0.708438023,0.202127649,0.574255843
6209,human resources and personnel management,0.707519046,0.195731659,0.552732755
6210,international business,0.603818616,0.156272749,0.612579407
6211,hospitality management,0.603581884,0.166241144,0.598447485
6212,management information systems and statistics,0.712789828,0.227325677,0.232544028
6299,miscellaneous business and medical administration,0.578010949,0.139426631,0.391791117
6402,history,0.434578121,0.0958723,0.487594649
6403,united states history,0.40201005,0.0862857,0.59522959
